id,title,time,notes,status,user_name,user_email,user_phone
1,guhi,2025-05-16T12:00:00,kugiuh,confirmed,,,
1,sdfghjkl,2025-05-16T12:00:00,,pending,,,
2,jvhgv,2025-05-21T12:00:00,",n jm",confirmed,,,
1,dsb,2025-05-22T12:00:00,,pending,,,
APT-1755515595-4468,erge,2025-08-13T12:00:00,whbs,cancelled,,,
APT-1755517993-4552,sadam,2025-08-20T12:00:00,sudyfguy,pending,,,
APT-1755595178-9917,hguyguy g,2025-08-28T12:00:00,iuhiu,pending,,,
APT-1755666003-5027,sdefrtgyhu,2025-08-22T12:00:00,,pending,,,
APT-1755669656-9390,dfgtyhjukl,2025-08-23T12:00:00,,pending,,,
APT-1755672286-3413,dfgtyhjukl,2025-08-29T12:00:00,,pending,,,
APT-1755674614-5747,regarding website pricing details,2025-08-27T08:00:00,,cancelled,,,
APT-1755679110-8436,digital marjeting services cost and visit site,2025-09-29T09:00:00,fefew,cancelled,,,
APT-1755750691-3491,dfrgthyjuyytrf,2025-08-30T12:00:00,,cancelled,,,
APT-1755751457-8705,services,2025-08-27T12:00:00,,scheduled,Web User,,
APT-1755751590-7995,websites,2025-08-23T10:00:00,wedsdf,scheduled,Web User,,
APT-1755753222-7875,about vists,2025-08-23T09:00:00,,scheduled,ram,ram@gmil.com,86538293739,
APT-1755753756-7651,bookings,2025-08-29T08:00:00,,scheduled,golla,golla@gmail.com,748787577,it olutions
APT-1755771707-2907,urke,2025-08-26T08:00:00,derfgthyujkilo;,scheduled,phani,phanirid@gmail.com,52364587236,gcbhns
APT-1755772979-9442,cfvgbhnjkm,2025-09-03T09:00:00,rftgyhujikolp,scheduled,sadam,sadamimsolutions@gmail.com,cfvgbhnjkml;',
